amount,log_amount,hour_of_day,day_of_week,is_fraud
1707.0,7.443078,20,5,0
558.72,6.327437,20,1,0
3415.01,8.136228,18,5,0
3267.07,8.091955,1,6,0
4056.75,8.308384,0,5,0
4707.69,8.457165,21,2,0
2092.28,7.646487,4,5,0
205.48,5.330204,16,3,0
1586.16,7.369702,21,6,0
2168.32,7.682169,8,2,0
1717.95,7.449469,1,6,0
4709.06,8.457456,9,1,0
1458.12,7.285589,15,1,0
4707.74,8.457176,17,4,0
4151.98,8.331581,15,3,0
1845.18,7.520874,21,4,0
2121.47,7.660336,4,3,0
1561.2,7.35385,13,0,0
1343.61,7.203859,4,1,0
1235.24,7.11983,12,1,0
3435.02,8.142069,16,5,0
3769.64,8.235,7,5,0
2038.53,7.620475,23,1,0
3046.83,8.022185,21,6,0
1148.82,7.047361,12,5,0
1414.07,7.254934,4,6,0
2122.77,7.660948,14,4,0
413.62,6.027362,22,2,0
4559.95,8.425286,4,3,0
184.8,5.224671,17,4,0
533.65,6.281612,12,0,0
1953.36,7.577818,4,6,0
4399.45,8.389462,4,2,0
3466.73,8.151255,5,6,0
1564.1,7.355705,13,5,0
4072.13,8.312167,15,4,0
1307.87,7.176919,18,6,0
1154.79,7.052539,11,4,0
243.7,5.500033,10,5,0
4522.96,8.417143,4,0,0
2072.97,7.63722,13,6,0
199.97,5.303156,3,6,0
4231.9,8.350643,22,4,0
1278.76,7.154428,10,2,0
3267.74,8.09216,6,6,0
353.12,5.869636,21,2,0
1008.91,6.917616,23,1,0
815.82,6.705419,21,4,0
3574.71,8.181919,6,2,0
4448.41,8.400527,8,5,0
3405.11,8.133326,6,2,0
2051.67,7.626897,20,6,0
2333.98,7.755759,5,4,0
3776.8,8.236897,0,4,0
2824.48,7.946434,10,2,0
690.02,6.538169,14,0,0
1200.66,7.091459,1,2,0
4593.29,8.43257,0,0,0
3349.47,8.116856,22,3,0
3409.05,8.134482,6,2,0
146.4,4.99315,16,5,0
1047.11,6.954744,10,5,0
1301.75,7.172233,8,5,0
372.78,5.923667,15,3,0
2906.03,7.974887,18,5,0
2679.58,7.893788,3,1,0
671.69,6.511285,1,0,0
1117.05,7.019341,11,3,0
1348.04,7.207149,13,6,0
4210.14,8.345489,15,4,0
4509.1,8.414075,4,0,0
1788.41,7.489641,9,1,0
3021.35,8.01379,0,5,0
4874.36,8.491949,10,3,0
1062.55,6.969368,9,6,0
2229.09,7.709797,17,1,0
4735.69,8.463094,2,3,0
3635.9,8.198887,18,4,0
3957.34,8.28358,9,0,0
1252.36,7.133583,15,2,0
2793.05,7.935247,17,6,0
566.44,6.341135,5,0,0
1742.14,7.463443,6,2,0
1904.81,7.552662,1,3,0
3357.13,8.11914,18,6,0
2193.2,7.693573,18,1,0
214.46,5.372775,15,5,0
2454.2,7.805964,23,2,0
2926.09,7.981764,10,1,0
4413.47,8.392643,11,6,0
2422.03,7.792774,4,0,0
2475.66,7.814666,8,6,0
4362.22,8.380966,10,1,0
2679.7,7.893833,1,3,0
238.04,5.476631,17,2,0
4526.06,8.417828,22,0,0
1407.65,7.250387,5,2,1
1387.25,7.235799,22,0,0
4254.39,8.355942,20,2,0
327.65,5.794993,16,5,0
3755.69,8.231294,23,3,0
2521.76,7.833109,9,5,0
1316.72,7.183658,3,1,0
2296.64,7.739638,3,0,0
1505.15,7.317312,2,2,0
1297.03,7.168603,18,4,0
1588.73,7.371319,20,6,0
1279.92,7.155334,21,5,0
4527.2,8.41808,10,0,0
4564.53,8.42629,1,2,0
4366.27,8.381893,9,2,0
2274.58,7.72999,7,2,0
2981.95,8.000668,18,1,0
3341.42,8.11445,22,0,0
911.31,6.81598,16,0,0
4591.05,8.432082,1,6,0
992.85,6.901586,5,3,0
2929.29,7.982857,11,4,0
2254.13,7.720963,14,3,0
750.6,6.622204,19,0,0
3323.96,8.109213,20,2,0
3374.49,8.124296,0,6,0
3992.4,8.292398,10,0,0
183.54,5.217866,17,4,0
852.53,6.749381,8,3,0
2934.86,7.984756,0,2,0
2072.84,7.637157,22,2,0
2923.25,7.980793,19,3,0
4258.71,8.356956,15,1,0
4136.06,8.327741,19,2,0
1849.94,7.523449,5,3,0
4247.25,8.354262,14,2,0
2463.35,7.809683,21,0,0
4429.38,8.396241,23,2,0
2616.94,7.870143,11,6,0
522.73,6.260976,2,3,0
1745.1,7.46514,16,0,0
1837.08,7.516477,8,6,0
619.48,6.430493,8,5,0
616.34,6.42542,22,3,0
1057.76,6.964854,6,0,0
4760.02,8.468217,9,0,0
4256.7,8.356484,9,1,0
2101.04,7.650664,1,4,0
2943.87,7.98782,9,6,0
1835.1,7.515399,1,6,0
1354.66,7.212044,10,0,0
1442.19,7.274611,18,1,0
3005.9,8.008665,9,6,0
636.86,6.458119,2,1,0
1344.99,7.204885,19,6,0
259.78,5.563677,22,5,0
3675.5,8.209716,10,4,0
4833.55,8.483543,6,3,0
4601.81,8.434422,12,1,0
4539.76,8.42085,15,0,0
4159.75,8.333451,0,0,0
1131.85,7.032492,13,4,0
3513.48,8.164647,11,2,0
2601.72,7.864312,5,0,0
1312.16,7.180192,12,1,0
4152.83,8.331786,4,5,0
500.64,6.217883,21,0,0
4500.43,8.41215,3,3,0
2503.45,7.825824,23,1,0
4688.8,8.453145,11,5,0
3253.16,8.087689,11,2,0
353.96,5.872005,12,2,0
4545.76,8.42217,21,5,0
4114.41,8.322494,13,4,0
4748.66,8.465828,20,6,0
755.24,6.628359,4,0,0
3252.16,8.087382,22,6,0
199.62,5.301413,12,0,0
3653.41,8.20369,14,6,0
4669.19,8.448955,19,6,0
1932.43,7.567051,14,6,0
4038.95,8.303988,11,6,0
1883.35,7.541338,22,1,0
2852.28,7.956224,13,3,0
85.77,4.463261,20,3,0
3904.28,8.270085,4,3,0
2660.39,7.886604,22,4,0
4948.06,8.506953,4,2,0
1928.22,7.564871,17,2,0
918.48,6.823808,12,1,0
4628.41,8.440185,13,2,0
2417.78,7.791019,15,2,0
188.48,5.244283,1,6,0
1733.24,7.458325,3,2,0
2618.27,7.870651,21,1,0
656.66,6.488688,21,1,0
2003.48,7.60314,3,3,0
1310.28,7.178759,23,0,0
4205.74,8.344443,17,2,0
109.46,4.704653,14,5,0
1072.5,6.97868,21,0,0
341.79,5.837118,21,0,0
4831.66,8.483152,14,4,0
294.63,5.689109,21,4,0
1015.33,6.923953,16,5,1
19.48,3.019449,13,6,0
4980.16,8.513418,2,1,0
2712.54,7.906009,11,3,0
4504.58,8.413072,14,5,0
3497.95,8.160218,7,1,1
134.85,4.911551,13,3,0
3623.57,8.195491,2,6,0
3970.7,8.286949,16,5,0
812.78,6.70169,0,3,0
4698.55,8.455222,23,1,0
4720.52,8.459886,4,4,0
3721.35,8.22211,7,1,0
4535.66,8.419946,16,6,0
3109.69,8.0426,14,5,0
2296.54,7.739594,5,6,0
1715.38,7.447973,19,5,0
3071.9,8.030377,4,0,0
243.71,5.500074,14,2,0
3912.16,8.272101,3,1,0
937.89,6.844698,19,2,0
1354.41,7.211859,8,2,0
2867.01,7.961374,1,0,0
2497.95,7.823626,8,5,0
1582.85,7.367614,16,1,0
3516.64,8.165546,15,5,0
3835.91,8.252423,3,0,0
930.86,6.837183,18,3,0
3621.1,8.194809,4,6,0
1110.79,7.013727,23,0,0
2281.9,7.733202,4,5,0
3080.22,8.033081,22,6,0
2965.37,7.995094,21,3,0
1961.91,7.582183,8,5,0
4395.05,8.388462,20,1,0
3640.13,8.200049,10,0,0
950.45,6.857987,17,3,0
2577.96,7.855141,18,2,0
4548.21,8.422709,7,2,0
1258.4,7.138391,9,2,0
1791.46,7.491344,9,4,0
1735.05,7.459368,14,0,0
4671.26,8.449398,4,5,0
3527.46,8.168617,14,4,0
4501.05,8.412288,10,3,0
907.27,6.811542,10,4,0
3533.34,8.170282,23,1,0
4172.96,8.336621,22,5,0
2690.45,7.897835,7,4,0
531.78,6.278109,0,6,0
4532.19,8.419181,14,6,0
1205.66,7.095611,10,6,0
1467.74,7.29216,20,5,0
4697.68,8.455037,21,1,0
4313.44,8.369723,6,5,0
4750.06,8.466123,12,0,0
3749.38,8.229612,21,0,0
2587.77,7.858938,16,2,0
665.42,6.50192,15,2,0
297.76,5.699641,22,1,0
1078.2,6.983975,4,1,0
4651.2,8.445096,21,5,0
3097.06,8.038531,14,2,0
3519.32,8.166307,9,3,0
1035.23,6.943344,18,3,0
1633.24,7.398933,8,1,0
142.82,4.968563,9,4,0
1476.71,7.298249,3,2,0
776.95,6.656662,0,5,0
644.37,6.469824,18,4,0
2882.66,7.966816,23,0,0
2972.91,7.997633,12,5,0
2950.12,7.98994,5,3,0
4620.73,8.438524,21,2,0
4863.6,8.48974,5,3,0
1685.14,7.430197,11,2,0
808.42,6.696318,17,4,0
2708.02,7.904342,19,0,0
4834.16,8.483669,20,3,0
1424.08,7.261983,16,5,0
2807.97,7.940573,16,5,0
4473.68,8.40619,10,3,0
3068.73,8.029345,13,1,0
4034.21,8.302814,3,6,1
3089.26,8.036011,3,2,0
1149.74,7.04816,6,5,0
3577.89,8.182808,22,5,0
3954.96,8.282979,21,0,0
2371.8,7.771826,6,3,0
2399.7,7.783516,21,0,0
4645.26,8.443818,17,0,0
2781.96,7.93127,22,4,0
2122.95,7.661033,4,6,0
4789.39,8.474367,17,4,0
2985.2,8.001757,15,4,0
4751.28,8.46638,11,3,0
1796.83,7.494336,5,2,0
816.09,6.705749,21,5,0
2389.59,7.779295,12,1,0
1856.06,7.52675,19,3,0
2293.06,7.738078,21,6,0
19.71,3.030617,12,3,0
2585.86,7.8582,13,5,0
586.36,6.375638,2,2,0
4434.74,8.39745,16,0,0
3995.01,8.293052,3,4,0
1890.47,7.54511,6,0,0
32.41,3.508855,19,5,0
3389.54,8.128744,23,0,0
4847.75,8.486476,13,3,0
2785.07,7.932387,7,3,0
2922.72,7.980612,21,2,0
3121.42,8.046364,12,1,0
4248.21,8.354488,2,5,0
752.01,6.624079,16,0,0
4876.05,8.492296,22,0,0
4582.03,8.430116,12,3,1
3660.79,8.205707,13,4,0
1774.79,7.482001,20,6,0
4481.96,8.408039,14,0,0
1513.73,7.322992,8,3,0
4795.55,8.475652,23,2,0
3745.29,8.228521,19,0,0
1962.49,7.582479,11,0,0
499.32,6.215248,9,5,0
764.8,6.640921,21,2,0
410.77,6.020465,14,0,0
3015.81,8.011955,22,6,0
3313.27,8.105993,15,3,0
3232.97,8.081466,23,0,0
4783.68,8.473174,19,3,0
2442.14,7.801039,2,3,0
4032.48,8.302385,5,4,0
2830.6,7.948597,9,3,0
4501.21,8.412324,11,4,0
2040.77,7.621572,8,2,0
640.91,6.464448,14,0,0
441.98,6.093525,14,3,0
4202.95,8.34378,15,1,0
2845.89,7.953982,12,4,0
2042.61,7.622473,20,1,0
439.18,6.087184,14,0,0
441.21,6.091785,22,3,0
260.75,5.56739,12,5,0
3111.27,8.043108,21,4,0
2221.72,7.706487,22,2,0
945.06,6.852306,14,2,0
1818.93,7.506553,1,5,0
850.94,6.747516,6,1,0
1850.67,7.523843,12,0,0
2948.47,7.989381,6,0,0
211.47,5.358801,8,0,0
1553.8,7.349102,8,0,0
3027.55,8.015839,14,0,0
4806.2,8.47787,13,1,0
2686.74,7.896456,8,0,0
3039.54,8.01979,7,3,0
3896.9,8.268193,23,3,0
568.08,6.344021,1,4,0
1499.39,7.31348,12,4,0
4262.2,8.357775,4,6,0
4017.08,8.298559,22,1,0
1066.42,6.973,9,0,0
4668.16,8.448734,16,1,0
3107.41,8.041867,6,1,0
1015.92,6.924534,22,0,0
1324.27,7.189371,14,3,0
1103.19,7.006867,1,6,0
1953.68,7.577982,19,1,0
3505.83,8.162468,23,4,0
3467.87,8.151584,5,0,0
3259.65,8.089682,16,5,0
619.75,6.430928,0,0,0
1049.9,6.957402,2,0,0
4429.63,8.396297,8,5,0
1140.14,7.039783,21,0,0
2937.58,7.985682,8,4,0
4902.54,8.497713,5,4,0
718.29,6.578265,13,3,0
3044.76,8.021506,18,1,0
2216.72,7.704235,20,6,0
2055.24,7.628634,7,2,0
569.9,6.347214,18,4,0
3169.99,8.061799,13,5,0
3862.26,8.259267,9,4,0
3916.15,8.27312,16,3,0
4848.66,8.486664,2,4,0
3228.71,8.080148,4,2,0
2520.41,7.832574,22,1,0
809.59,6.697762,3,0,0
528.5,6.271933,9,3,0
4063.68,8.31009,13,6,0
4054.92,8.307933,7,1,0
3924.14,8.275157,17,0,0
3219.14,8.07718,13,6,0
4726.09,8.461065,6,4,0
4705.52,8.456704,1,0,0
1786.61,7.488635,12,6,0
788.85,6.671843,18,5,0
2809.79,7.941221,12,1,0
3083.68,8.034203,17,1,0
2671.76,7.890867,9,3,0
1617.7,7.389379,14,6,0
588.21,6.378783,21,0,0
4039.38,8.304094,10,4,0
4574.37,8.428443,11,6,0
1404.0,7.247793,15,4,0
4539.37,8.420764,15,1,0
1575.38,7.362886,8,5,0
1007.08,6.915803,1,0,0
4676.69,8.45056,4,3,0
3661.94,8.206021,18,1,0
325.68,5.788981,13,0,0
3582.45,8.184081,0,4,0
1427.47,7.264359,23,5,0
3507.81,8.163032,19,0,0
3757.98,8.231903,5,1,0
1494.57,7.310263,17,3,0
674.55,6.515527,22,6,0
2777.04,7.929501,11,0,0
4418.49,8.39378,0,5,0
2004.83,7.603813,9,4,0
2859.85,7.958874,0,6,1
1461.71,7.288046,16,1,0
605.45,6.407622,6,5,0
748.87,6.6199,21,0,0
1994.37,7.598585,1,6,0
211.47,5.358801,23,0,0
2474.43,7.814169,13,0,0
1143.9,7.043073,8,3,0
558.67,6.327347,12,6,0
4613.81,8.437026,16,2,0
2642.08,7.8797,13,2,0
2021.41,7.612045,8,0,0
3356.22,8.118869,17,2,0
2739.19,7.915783,1,1,0
2611.14,7.867925,1,3,0
1785.32,7.487913,5,2,0
162.02,5.093873,11,5,0
4447.64,8.400354,5,2,0
3598.93,8.18867,21,4,0
646.28,6.472779,1,5,0
930.11,6.836377,22,3,0
3294.35,8.100268,15,5,0
1384.42,7.233759,1,6,0
635.19,6.455497,1,4,0
2099.87,7.650107,6,4,0
1414.07,7.254934,10,5,0
1078.66,6.984401,6,1,0
1616.55,7.388668,16,0,0
4259.38,8.357114,11,2,0
2832.25,7.94918,4,1,0
3687.72,8.213035,4,2,0
1743.53,7.46424,20,6,0
3158.72,8.058239,21,6,0
2762.98,7.924427,11,2,0
4815.12,8.479724,7,5,0
134.41,4.908307,14,3,0
2514.98,7.830418,15,1,0
4971.92,8.511762,17,5,0
1590.42,7.372382,20,5,0
2611.72,7.868147,19,0,0
2160.91,7.678747,12,0,0
4596.58,8.433285,7,3,0
3067.78,8.029035,1,0,0
4073.32,8.312459,5,4,0
2797.82,7.936953,9,5,0
426.99,6.0591,3,3,0
20.25,3.056357,17,5,0
2753.26,7.920904,21,4,1
2823.83,7.946203,22,1,0
565.55,6.339565,22,5,0
